Range,Etnisity,Number,Total of Ethnicity population
0-9,Bulgarian,392595,5118494
10 - 19 ,Bulgarian,417805,5118494
20 - 29,Bulgarian,426633,5118494
30 - 39,Bulgarian,668542,5118494
40 - 49,Bulgarian,795319,5118494
50 - 59,Bulgarian,758226,5118494
60 - 69 ,Bulgarian,762116,5118494
70 - 79,Bulgarian,612428,5118494
80+,Bulgarian,284830,5118494
0-9,Turkish,44629,508378
10 - 19 ,Turkish,51108,508378
20 - 29,Turkish,50136,508378
30 - 39,Turkish,66545,508378
40 - 49,Turkish,75407,508378
50 - 59,Turkish,79632,508378
60 - 69 ,Turkish,77554,508378
70 - 79,Turkish,47436,508378
80+,Turkish,15931,508378
0-9,Roma,45556,266720
10 - 19 ,Roma,48529,266720
20 - 29,Roma,37832,266720
30 - 39,Roma,40208,266720
40 - 49,Roma,34285,266720
50 - 59,Roma,28677,266720
60 - 69 ,Roma,21178,266720
70 - 79,Roma,8735,266720
80+,Roma,1720,266720
0-9,Other,108587,626197
10 - 19 ,Other,95154,626197
20 - 29,Other,53311,626197
30 - 39,Other,61680,626197
40 - 49,Other,72527,626197
50 - 59,Other,65543,626197
60 - 69 ,Other,70964,626197
70 - 79,Other,63620,626197
80+,Other,34811,626197
