Labor force,Etnisity,Number,Total number
Employed,Bulgarian,2255795,2661292
Unemployed,Bulgarian,201204,292645
Presons out of the labor force,Bulgarian,2048624,2648130
Employed,Turkish,151587,2661292
Unemployed,Turkish,40173,292645
Presons out of the labor force,Turkish,246227,2648130
Employed,Roma,38625,2661292
Unemployed,Roma,40688,292645
Presons out of the labor force,Roma,116490,2648130
Employed,Other,215285,2661292
Unemployed,Other,10580,292645
Presons out of the labor force,Other,236789,2648130
